product_title,brand,product_url,part_number,bci_group_size,cold_cranking_amperage,cranking_amperage,amperage_tier,height,length,width,product_size_tier,negative_terminal_location,positive_terminal_location,reserve_capacity,terminal_type,voltage,weight,weight_tier,amp_hour,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,product_warranty.y,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-35-640-cca-35-2/2130004-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,35,640 A,800 A,>500AMP,8.875,9.06,6.937,501-1000sq.inch,Top Left,Top Right,100 min,Top Mount,12.0 VDC,39.01,20.1-40pound,,"Battery, Group Size 35, 640 CCA",(1174 reviews),3 YR FREE REPLACEMENT,179.99,2130004,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,183,179.99,101-200$,32938.17,0.061211800999999996
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-h6-730-cca-48h6/2130015-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,730 A,910 A,>500AMP,7.5,11.0,6.937,501-1000sq.inch,Top Left,Top Right,115 min,Top Mount,12.0 VDC,38.81,20.1-40pound,,"Battery, Group Size H6, 730 CCA",(712 reviews),3 YR FREE REPLACEMENT,179.99,2130015,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,111,179.99,101-200$,19978.89,0.03712847
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-h7-800-cca-94rh7/2130011-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,800 A,1000 A,>500AMP,7.5,12.437000000000001,6.937,501-1000sq.inch,Top Left,Top Right,140 min,Top Mount,12.0 VDC,42.91,>40pound,,"Battery, Group Size H7, 800 CCA",(467 reviews),3 YR FREE REPLACEMENT,179.99,2130011,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,105,179.99,101-200$,18898.95,0.035121525
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-65-850-cca-65-2/2040468-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,65,850 A,1000 A,>500AMP,7.562,12.06,7.562,501-1000sq.inch,Top Right,Top Left,150 min,Top Mount,12.0 VDC,45.21,>40pound,,"Battery, Group Size 65, 850 CCA",(1422 reviews),3 YR FREE REPLACEMENT,179.99,2040468,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,133,179.99,101-200$,23938.67,0.044487265
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-h7-850-cca-h7-agm/10210826-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,850 A,1000 A,>500AMP,7.5,12.437000000000001,6.937,501-1000sq.inch,Top Left,Top Right,140 min,Top Mount,12.0 VDC,51.8,>40pound,80.0 Ah,"Battery, Group Size H7, 850 CCA",(193 reviews),3 YR FREE REPLACEMENT,209.99,10210826,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,114,209.99,201-400$,23938.86,0.044487618
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-24f-750-cca-24f-6/2130001-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,24F,750 A,935 A,>500AMP,9.0,10.75,6.812,501-1000sq.inch,Top Left,Top Right,130 min,Top Mount,12.0 VDC,41.6,>40pound,,"Battery, Group Size 24F, 750 CCA",(1656 reviews),3 YR FREE REPLACEMENT,179.99,2130001,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,135,179.99,101-200$,24298.65,0.045156247000000004
DieHard Platinum AGM,DieHard,https://shop.advanceautoparts.com/p/diehard-platinum-agm-battery-group-size-h6-760-cca-h6-agm/10210829-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,760 A,950 A,>500AMP,7.5,11.0,6.937,501-1000sq.inch,Top Left,Top Right,120 min,Top Mount,12.0 VDC,45.6,>40pound,70.0 Ah,"Battery, Group Size H6, 760 CCA",(386 reviews),3 YR FREE REPLACEMENT,209.99,10210829,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,86,209.99,201-400$,18059.14,0.033560835
DieHard Gold,DieHard,https://shop.advanceautoparts.com/p/diehard-gold-battery-group-size-51r-500-cca-51r-2/2130008-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,51R,500 A,625 A,>500AMP,8.75,9.375,5.062,201-500sq.inch,Top Left,Top Right,85 min,Top Mount,12.0 VDC,27.81,20.1-40pound,,"Battery, Group Size 51R, 500 CCA",(884 reviews),3 YR FREE REPLACEMENT,179.99,2130008,3 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,116,179.99,101-200$,20878.84,0.038800923
DieHard Red,DieHard,https://shop.advanceautoparts.com/p/diehard-red-battery-group-size-75-86-650-cca-35-75-2/2040433-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,,650 A,810 A,>500AMP,7.312,9.06,7.06,201-500sq.inch,,,93 min,Dual Terminal,12.0 VDC,32.55,20.1-40pound,,"Battery, Group Size 75/86, 650 CCA",(150 reviews),1 YR FREE REPLACEMENT,99.99,2040433,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,17,99.99,51-100$,1699.83,0.0031589390000000004
DieHard Red,DieHard,https://shop.advanceautoparts.com/p/diehard-red-battery-group-size-65-650-cca-65-0/2130021-P?navigationPath=L1*14920%7CL2*15000%7CL3*15597%7CL4*13646,,65,650 A,812 A,>500AMP,7.562,12.06,7.562,501-1000sq.inch,Top Right,Top Left,80 min,Top Mount,12.0 VDC,38.61,20.1-40pound,,"Battery, Group Size 65, 650 CCA",(278 reviews),1 YR FREE REPLACEMENT,99.99,2130021,1 YR FREE REPLACEMENT,https://shop.advanceautoparts.com/c4/battery/13646?term=batteries?,Battery,33,99.99,51-100$,3299.67,0.006132057
