product_title,count_of_reviews,product_url,part_number,product_description,ampere,voltage,amperage_tier,skuid,units_sold,product_attributes,product_reviews,product_warranty,sale_price,price_tier,search_term,category,revenue,market_share
Schumacher 600 Peak Amp Jump Starter + Portable Power (XP400 Replacement),8 reviews,https://shop.advanceautoparts.com/p/schumacher-600-peak-amp-jump-starter-portable-power-xp400-replacement-sj1329/11824391-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # SJ1329,['Works with V6 engines\n600 Peak Amps - power for jump starting vehicles in emergencies\nBuilt-in charger - for automatic charging of internal battery\nBuilt-in light - energy-efficient ultra-bright LEDs\n12V DC power port - for any device powered or charged by 12V power\nLED indicators - for status of internal battery\n8-gauge cables\nSure-grip clamps fit both top- and side-mount batteries\nSchu Eco Energy - meets the highest industry standards\nDOE compliant\nContents: (1) SJ1329 with cables (1) Manual'],600,12 volt,400-600AMP,11824391,272,600 Peak Amp Jump Starter + Portable Power (XP400 Replacement),(8 reviews),1 YR REPLACEMENT IF DEFECTIVE,79.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,21757.28,0.195107183
Schumacher 600A Lithium Jump Starter + Power Pack,27 reviews,https://shop.advanceautoparts.com/p/schumacher-600a-lithium-jump-starter-power-pack-sl1312/11920159-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # SL1312,"['4 LED battery indicators to easily read battery charge level.\nDurable case that has a soft-touch finish and portable compact design. It fits conveniently in your travel bag, backpack or glove box.\n5V, 2.4A + 1A USB ports. Charge all USB devices including smartphones, MP3 players and tablets.\nProvides protection against reverse polarity, short circuit, low voltage, high temperature and reverse charging.\nPower on/off button.\nBuilt-in LED light.']",600,5v,400-600AMP,11920159,235,600A Lithium Jump Starter + Power Pack,(27 reviews),1 YR REPLACEMENT IF DEFECTIVE,91.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,21617.65,0.193855059
Schumacher 1200 Peak Amp Lithium Ion Jump Starter/Power Pack,1 review,https://shop.advanceautoparts.com/p/schumacher-1200-peak-amp-lithium-ion-jump-starter-power-pack-sl1582/12454202-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # SL1582,"['Quickly jump starts vehicles in emergencies\nLithium Polymer battery - Provides longer life and more charge cycles\nSafe smart cable/clamps -Spark-free protection against overcurrent, short-circuit, overload, overvoltage and overcharge\nLCD display with power button\nCompact design with soft-touch finish\n3A USB port for faster charging\n2.4A USB port - Charges USB devices, including smartphones, mp3 players and tablets\nBuilt-in 3-mode LED light\nDOE compliant\nContents: (1) Schumacher SL1582 jump starter/power pack (1) Smart cable with clamps (1) USB to micro USB charging cable (1) Travel bag (1) Manual']",1200,12 volt,1000-200AMP,12454202,87,1200 Peak Amp Lithium Ion Jump Starter/Power Pack,(1 reviews),30 DAY REPLACEMENT IF DEFECTIVE,124.99,101-200$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,10874.13,0.097513149
Schumacher 1200 Peak Amp Portable Power Station (XP2260 Replacement),13 reviews,https://shop.advanceautoparts.com/p/schumacher-1200-peak-amp-portable-power-station-xp2260-replacement-sj1332/11824423-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # SJ1332,"['Works with V8 engines\n1200 Peak amp engine starter\n400 Peak watt converter - Two 120V AC outlets\n150 PSI automatic digital air compressor with pressure gauge, nozzles and storage area\nHigh/Low inflator/deflator - for inflatable mattresses, pool rafts and beach balls\n2A USB port - quickly charge all USB devices, including smartphones, tablets, etc.\nBuilt-in light - energy-efficient ultra-bright LEDs\nDigital display - monitors charge level of internal battery and voltage of vehicle battery\nSwivel AC plug - Schu Eco Energy charger for internal battery\nSealed lead-acid AGM battery\nContents: (1) Schumacher SJ1332 with cables, air compressor and built-in light (1) Inflator/deflator hose (1) Hose adapter-unit end (1) 3-piece hose adapter - device end (1) Compressor accessory bag (1) Manual']",1200,120 volt,1000-200AMP,11824423,195,1200 Peak Amp Portable Power Station (XP2260 Replacement),(13 reviews),1 YR REPLACEMENT IF DEFECTIVE,149.99,101-200$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,29248.05,0.262280242
Schumacher ProSeries 12V/24V 4400 Peak Amp Jump Starter with USB and DC Power,No Reviews,https://shop.advanceautoparts.com/p/schumacher-proseries-12v-24v-4400-peak-amp-jump-starter-with-usb-and-dc-power-dsr115/11872581-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # DSR115,['High output AGM batteries\n2A external automatic charger\n2-gauge cables\n2.1A USB port\n12V DC outlet\nDigital display\nON/OFF switch\nReverse connection warning\nSchu Eco Energy - meets the highest industry standards\nDOE compliant\nContents: (1) DSR115 jump starter (1) manual\nSuggested upgrade for PSJ-3612'],4400,12/24 volt,>2000AMP,11872581,1,ProSeries 12V/24V 4400 Peak Amp Jump Starter with USB and DC Power,(0 reviews),1 YR REPLACEMENT IF DEFECTIVE,588.99,>400$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,588.99,0.005281735
Schumacher ProSeries 12V 2200 Peak Amp Jump Starter with USB and DC Power,21 reviews,https://shop.advanceautoparts.com/p/schumacher-proseries-12v-2200-peak-amp-jump-starter-with-usb-and-dc-power-dsr114/11872580-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # DSR114,['High output AGM battery\n2A external automatic charger\n2.1A USB port\n12V DC outlet\nDigital display\nON/OFF switch\nReverse connection warning\nSchu Eco Energy - meets the highest industry standards\nDOE compliant\nContents: (1) DSR114 jump starter (1) manual\nSuggested upgrade for PSJ-2212'],2200,12 volt,>2000AMP,11872580,1,ProSeries 12V 2200 Peak Amp Jump Starter with USB and DC Power,(21 reviews),1 YR REPLACEMENT IF DEFECTIVE,235.99,201-400$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,235.99,0.002116227
"Schumacher Lithium Ion Jump Starter, Fuel Pack and Backup Power",9 reviews,https://shop.advanceautoparts.com/p/schumacher-lithium-ion-jump-starter-fuel-pack-and-backup-power-sl1/10967335-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # SL1,"['Lithium Iron Phosphate battery Provides longer life and more charge cycles\nLithium ion protection Spark-free protection against overcurrent, short-circuit, overload, overvoltage and overcharge\nQuickly jump start vehicles great for power sports, motorcycles and 4-6 cylinder cars\nTSA checkpoint friendly extra power during air travel\nUltra-light design 75% lighter than lead-acid jump starters\nScrolling digital display step-by-step instructions to properly jump start your battery\n2A USB port 2X faster charging for all USB devices, including smartphones, mp3 players and tablets\n12V DC port adaptor Charge your 12V DC devices when traveling. Also works with memory savers (not included).\nUltra-bright LED light use as a work light or flash as a hazard signal.']",400,12 volt,400-600AMP,10967335,0,"Lithium Ion Jump Starter, Fuel Pack and Backup Power",(8 reviews),1 YR REPLACEMENT IF DEFECTIVE,143.99,101-200$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,0,0
Schumacher Lithium Jump Starter 800A Peak Amps,No Reviews,https://shop.advanceautoparts.com/p/schumacher-lithium-jump-starter-800a-peak-amps-sl1441/12322701-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # SL1441,"['High Performance Lithium Technology\n800 Peak Amps - powerful for jump starting V8 in emergencies\nSuperior In Extreme Cold temperatures - jump starts in -10 degrees F (30 second high current pre-charge)\n2.4A USB Port - 2X faster charging\nQualcomm Quick Charge Technology- charge 4X faster\nType-C USB, 3A In - recharge ultra fast with 15W charging\nBuilt-In LED Light - 3 mode ultra bright LED light\nWorry-Free Smart Clamp - provides protection with 6 safety features']",800,NA,600-1000AMP,12322701,5,Lithium Jump Starter 800A Peak Amps,(0 reviews),30 DAY REPLACEMENT IF DEFECTIVE,107.99,101-200$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,539.95,0.004841971
Schumacher Lithium Jump Starter 1200A Peak Amps,1 review,https://shop.advanceautoparts.com/p/schumacher-lithium-jump-starter-1200a-peak-amps-sl1439/12248883-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # SL1439,['High Performance Lithium Technology\n1200 Peak Amps - power for jump starting vehicles in emergencies\nSuperior In Extreme Cold temperatures - jump starts in -10 degrees F (30 second high current pre-charge)\n2.4A USB Port - 2X faster charging\nBuilt-In Light - energy efficient ultra bright LEDs\n2A Micro USB Port - for charging internal battery\n150 PSI Air Compressor - to top-off tires\nWorry-Free Smart Clamp - provides protection with 6 safety features\nHeavy-Duty 8-Gauge Cables - spark-resistant clamps'],1200,NA,1000-200AMP,12248883,122,Lithium Jump Starter 1200A Peak Amps,(1 reviews),1 YR REPLACEMENT IF DEFECTIVE,174.99,101-200$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,21348.78,0.191443983
Noco Genius Boost Plus GB40 1000 Amp 12-Volt UltraSafe 12-Volt UltraSafe Lithium Jump Starter,1 review,https://shop.advanceautoparts.com/p/noco-genius-boost-plus-gb40-1000-amp-12-volt-ultrasafe-12-volt-ultrasafe-lithium-jump-starter-gb40/12067798-P?searchTerm=Battery%20Jump%20Starter%20&%20Power%20Unit,Part # GB40,"['Compact, yet powerful lithium jump starter rated at 1,000 Amps - up to 20 jump starts on a single charge.\nAn ultra-safe and mistake-proof design with spark-proof technology and reverse polarity protection, which allow it to safely connect to any battery.\nAn ultra-bright 100 lumen LED flashlight with 7 light modes, including SOS and emergency strobe.\nRecharge your personal devices on the go, like smartphones, tablets, e-watches and more - up to 4 smartphone recharges.\nDesigned for gas engines up to 6 Liters and diesel engines up to 3 Liters for cars, boats, lawn mowers and more.']",1000,NA,600-1000AMP,12067798,6,Boost Plus GB40 1000 Amp 12-Volt UltraSafe 12-Volt UltraSafe Lithium Jump Starter,(1 reviews),30 DAY REPLACEMENT IF DEFECTIVE,139.99,101-200$,https://shop.advanceautoparts.com/web/SearchResults?storeId=10151&catalogId=10051&langId=-1&searchTerm=Battery+charger,Jump Starters,839.94,0.007532115
