title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type,Type,,
hulkman alpha85 jump starter 2000 amp 20000mah car starter for up to 8.5l gas and 6l diesel engines with led display 12v lithium portable car battery booster pack (space gray),https://www.amazon.com/dp/B08M41FX48,B08M41FX48,HULKMAN,Jump Sarter,99.97,51-100$,9121,911826,4.80519084938154,,,4.44,2.1-5pound,9.06 x 4.06 x 1.81 inches,51-100sq.inch,2000 Amps,>500AMP,12 Volts,,Passenger Car,portable,,
noco boost plus gb40 1000 amp 12-volt ultrasafe lithium jump starter box car battery booster pack portable power bank charger and jumper cables for up to 6-liter gasoline and 3-liter diesel engines,https://www.amazon.com/NOCO-GB40-UltraSafe-Lithium-Starter/dp/B015TKUPIC/ref=sr_1_4?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-4&ts_id=387679011,B015TKUPIC,NOCO,Jump Sarter,107,101-200$,18663,1996941,10.5235896102489,GB40,,2.4,2.1-5pound,6.57 x 3.15 x 7.72 inches,101-200sq.inch,1000 Amps,>500AMP,12 Volts,,Passenger Car,portable,,
loftek portable car battery jump starter (up to 7.0l gas or 5.5l diesel engine) 12v power pack auto battery booster with built-in led light red,https://www.amazon.com/LOFTEK-Portable-Battery-Starter-Charger/dp/B08KSZSPBM/ref=sr_1_5?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-5&ts_id=387679011,B08KSZSPBM,LOFTEK,Jump Sarter,49.99,0-50$,2637,131824,0.694693371903051,Y29,,1.7,1.1-2pound,8.39 x 5.47 x 3.31 inches,101-200sq.inch,,,,,"Passenger Car, SUV, Truck",portable,,
stanley fatmax j7cs portable power station jump starter: 700 peak/350 instant amps 120 psi air compressor 3.1a usb ports battery clamps,https://www.amazon.com/STANLEY-FATMAX-J7CS-Jump-Starter/dp/B00RZXVQSU/ref=sr_1_6?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-6&ts_id=387679011,B00RZXVQSU,STANLEY,Jump Sarter,56.82,51-100$,2987,169721,0.894405068673062,J7CS,,10.25,10.1-20pound,12.5 x 11.7 x 8.5 inches,>1000sq.inch,350 Amps,201-500AMP,120 Volts,China,Passenger Car,portable,,
car battery jump starter 1500a powerful power pack car starter up to 7l gas & 5.5l diesel engine nusican 12v auto car jumper starter battery booster with qc 3.0 type c port and led flashlight,https://www.amazon.com/Nusican-Battery-Starter-18000mAh-Portable/dp/B08MFKSVX5/ref=sr_1_8?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-8&ts_id=387679011,B08MFKSVX5,Nusican,Jump Sarter,52.99,51-100$,1166,61786,0.32560326402174,,,2.23,2.1-5pound,6.88 x 1.6 x 3.55 inches,1-50sq.inch,1500 Amps,>500AMP,12 Volts,,"Passenger Car, Motorcycle, ATV, UTV, Truck, Snowmobile, Tractor, Trailer",non portable,,
noco boost hd gb70 2000 amp 12-volt ultrasafe lithium jump starter box car battery booster pack portable power bank charger and jumper cables for up to 8-liter gasoline and 6-liter diesel engines,https://www.amazon.com/NOCO-GB70-UltraSafe-Lithium-Gasoline/dp/B016UG6PWE/ref=sr_1_9?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-9&ts_id=387679011,B016UG6PWE,NOCO,Jump Sarter,199.95,101-200$,5074,1014546,5.34651035995534,GB70,,5,2.1-5pound,6 x 2.5 x 8.6 inches,101-200sq.inch,2000 Amps,>500AMP,12 Volts,China,Passenger Car,portable,,
dewalt dxaej14 digital portable power station jump starter: 1400 peak/700 instant amps 120 psi digital air compressor 3.1a usb ports battery clamps,https://www.amazon.com/DEWALT-DXAEJ14-Jump-Starter-Compressor/dp/B06XD6XBCM/ref=sr_1_10?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-10&ts_id=387679011,B06XD6XBCM,DEWALT,Jump Sarter,159,101-200$,1261,200499,1.05660066735336,DXAEJ14,,1,0-1pound,11.75 x 6 x 13 inches,501-1000sq.inch,1400 Amps,>500AMP,12 Volts,China,Passenger Car,portable,,
dbpower 800a 18000mah portable car jump starter (up to 7.2l gas 5.5l diesel engine) battery booster with smart charging port compass lcd screen and led light (black/red),https://www.amazon.com/DBPOWER-18000mAh-Portable-Starter-Charging/dp/B01D42TYFC/ref=sr_1_11?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-11&ts_id=387679011,B01D42TYFC,DBPOWER,Jump Sarter,74.99,51-100$,2158,161828,0.852810102775875,DJS50,,2.82,2.1-5pound,7.28 x 1.57 x 3.54 inches,1-50sq.inch,800 Amps,>500AMP,12 Volts,,"Car, Truck, UTV, Motorcycle, Truck, Snowmobile, boat, lawn mover, Personal Watercraft, Track, Trailer, Cellphone, Laptop, Tablet, Car refrigerator , Car vacuum cleaner, car air pump",portable,,
imazing portable car jump starter - 2000a peak 18000mah (up to 10l gas or 8l diesel engine) 12v auto battery booster portable power pack with lcd display jumper cables qc 3.0 and led light,https://www.amazon.com/Imazing-Portable-Car-Jump-Starter/dp/B07T49JQBR/ref=sr_1_13?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-13&ts_id=387679011,B07T49JQBR,Imazing,Jump Sarter,59.49,51-100$,4335,257889,1.35903764858225,IM27,,2.25,2.1-5pound,9.57 x 5.31 x 4.09 inches,2011-500sq.inch,2000 Amps,>500AMP,12 Volts,,"Car, Truck, UTV, Motorcycle, Dirt Bike,Personal Watercraft, RV or tractor",portable,,
stanley j5c09 portable power station jump starter: 1000 peak/500 instant amps- 120 psi air compressor- usb port- battery clamps,https://www.amazon.com/STANLEY-J5C09-Jump-Starter-Compressor/dp/B002X6VXL4/ref=sr_1_14?_encoding=UTF8&c=ts&dchild=1&keywords=Jump+Starters+%26+Battery+Chargers&qid=1633485755&s=automotive&sr=1-14&ts_id=387679011,B002X6VXL4,STANLEY,Jump Sarter,112.34,101-200$,3450,387573,2.04245353068168,J5C09,,18,10.1-20pound,11.25 x 8 x 13.5 inches,>1000sq.inch,500 Amps,201-500AMP,12 Volts,China,Passenger Car,portable,,
