title,Type,count_of_reviews,product_url,part_number,product_description,product_description1,product_title,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
dorman - help gasket for oxygen sensor,Oxygen sensor,15 Reviews,https://shop.advanceautoparts.com/p/dorman-help-gasket-for-oxygen-sensor-47021/22147944-P?searchTerm=sensors,Part # 47021,[],"['', 'Resilient against fluctuations in under hood temperatures\nHigh heat resistance\nEasy to install\nDurable construction ensures long service life']",Dorman - Help,Gasket For Oxygen Sensor,(15 reviews),1 YR REPLACEMENT IF DEFECTIVE,$8.99,22147944,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,3.0,8.99,0-50$,26.97,0.085375119
delphi abs wheel speed sensor,Speed sensor,2 Reviews,https://shop.advanceautoparts.com/p/delphi-abs-wheel-speed-sensor-ss10311/25987068-P?searchTerm=sensors,Part # SS10311,[],"['', ""Delphi sensors are built to meet or exceed OE requirements and testing\nDelphi has improved the OE design by plating the connectors to help prevent corrosion and failure commonly caused by internal and cable short circuits\nDelphi's OE design helps by preventing mechanical damage to the sensor wheel, soiling and increased wheel bearing free play\nSpeed sensors maintain optimal performance during drastic temperature changes for robust, long-lasting sensor protection\nDesigned digital output for maximum signal to noise ratio""]",Delphi,ABS Wheel Speed Sensor,(2 reviews),1 YR REPLACEMENT IF DEFECTIVE,$31.99,25987068,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,31.99,0-50$,0.0,0.0
"dorman - oe solutions speed sensor, rear differential",Speed sensor,48 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-speed-sensor-rear-differential-970-012/22149453-P?searchTerm=sensors,Part # 970-012,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,"Speed Sensor, Rear Differential",(48 reviews),LIMITED LIFETIME REPLACEMENT,$20.29,22149453,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,20.29,0-50$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,2 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-025/22149452-P?searchTerm=sensors,Part # 970-025,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(2 reviews),LIMITED LIFETIME REPLACEMENT,$34.99,22149452,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,34.99,0-50$,0.0,0.0
"dorman - oe solutions speed sensor, rear differential",Speed sensor,16 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-speed-sensor-rear-differential-970-024/22149451-P?searchTerm=sensors,Part # 970-024,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,"Speed Sensor, Rear Differential",(16 reviews),LIMITED LIFETIME REPLACEMENT,$34.49,22149451,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,34.49,0-50$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,3 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-021/22149449-P?searchTerm=sensors,Part # 970-021,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(3 reviews),LIMITED LIFETIME REPLACEMENT,$89.99,22149449,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,89.99,51-100$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-017/22149445-P?searchTerm=sensors,Part # 970-017,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,$72.99,22149445,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,72.99,51-100$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-028/22149441-P?searchTerm=sensors,Part # 970-028,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,$37.49,22149441,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,37.49,0-50$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,9 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-011/22149440-P?searchTerm=sensors,Part # 970-011,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(9 reviews),LIMITED LIFETIME REPLACEMENT,$57.99,22149440,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,57.99,51-100$,0.0,0.0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,2 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-010/22149439-P?searchTerm=sensors,Part # 970-010,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",Dorman - OE Solutions,Anti-Lock Brake Sensor With Harness,(2 reviews),LIMITED LIFETIME REPLACEMENT,$52.99,22149439,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0.0,52.99,51-100$,0.0,0.0
