product_title,Type,count_of_reviews,product_url,part_number,product_description,product_description,skuid,units_sold,product_attributes,product_reviews,product_warranty,sale_price,price_tier,search_term,category,revenue,market_share
dorman - help gasket for oxygen sensor,Oxygen sensor,15 Reviews,https://shop.advanceautoparts.com/p/dorman-help-gasket-for-oxygen-sensor-47021/22147944-P?searchTerm=sensors,Part # 47021,[],"['', 'Resilient against fluctuations in under hood temperatures\nHigh heat resistance\nEasy to install\nDurable construction ensures long service life']",22147944,26,Gasket For Oxygen Sensor,(15 reviews),1 YR REPLACEMENT IF DEFECTIVE,8.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,233.74,0.048441716
delphi abs wheel speed sensor,Speed sensor,2 Reviews,https://shop.advanceautoparts.com/p/delphi-abs-wheel-speed-sensor-ss10311/25987068-P?searchTerm=sensors,Part # SS10311,[],"['', ""Delphi sensors are built to meet or exceed OE requirements and testing\nDelphi has improved the OE design by plating the connectors to help prevent corrosion and failure commonly caused by internal and cable short circuits\nDelphi's OE design helps by preventing mechanical damage to the sensor wheel, soiling and increased wheel bearing free play\nSpeed sensors maintain optimal performance during drastic temperature changes for robust, long-lasting sensor protection\nDesigned digital output for maximum signal to noise ratio""]",25987068,0,ABS Wheel Speed Sensor,(2 reviews),1 YR REPLACEMENT IF DEFECTIVE,31.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
"dorman - oe solutions speed sensor, rear differential",Speed sensor,48 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-speed-sensor-rear-differential-970-012/22149453-P?searchTerm=sensors,Part # 970-012,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149453,0,"Speed Sensor, Rear Differential",(48 reviews),LIMITED LIFETIME REPLACEMENT,20.29,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,2 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-025/22149452-P?searchTerm=sensors,Part # 970-025,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149452,1,Anti-Lock Brake Sensor With Harness,(2 reviews),LIMITED LIFETIME REPLACEMENT,34.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,34.99,0.007251543
"dorman - oe solutions speed sensor, rear differential",Speed sensor,16 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-speed-sensor-rear-differential-970-024/22149451-P?searchTerm=sensors,Part # 970-024,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149451,0,"Speed Sensor, Rear Differential",(16 reviews),LIMITED LIFETIME REPLACEMENT,34.49,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,3 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-021/22149449-P?searchTerm=sensors,Part # 970-021,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149449,2,Anti-Lock Brake Sensor With Harness,(3 reviews),LIMITED LIFETIME REPLACEMENT,89.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,179.98,0.037300163
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-017/22149445-P?searchTerm=sensors,Part # 970-017,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149445,1,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,72.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,72.99,0.015126897
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,NA,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-028/22149441-P?searchTerm=sensors,Part # 970-028,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149441,0,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,37.49,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,9 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-011/22149440-P?searchTerm=sensors,Part # 970-011,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149440,0,Anti-Lock Brake Sensor With Harness,(9 reviews),LIMITED LIFETIME REPLACEMENT,57.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,2 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-010/22149439-P?searchTerm=sensors,Part # 970-010,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149439,7,Anti-Lock Brake Sensor With Harness,(2 reviews),LIMITED LIFETIME REPLACEMENT,52.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,370.93,0.076873816
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,1 Review,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-006/22149435-P?searchTerm=sensors,Part # 970-006,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149435,0,Anti-Lock Brake Sensor With Harness,(1 reviews),LIMITED LIFETIME REPLACEMENT,59.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,1 Review,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-005/22149434-P?searchTerm=sensors,Part # 970-005,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149434,0,Anti-Lock Brake Sensor With Harness,(1 reviews),LIMITED LIFETIME REPLACEMENT,50.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-062/22149428-P?searchTerm=sensors,Part # 970-062,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149428,0,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,31.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock braking system wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-braking-system-wheel-speed-sensor-970-026/22149421-P?searchTerm=sensors,Part # 970-026,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149421,3,Anti-Lock Braking System Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,37.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,113.97,0.023619844
dorman - oe solutions anti-lock brake sensor,brake sensor,1 Review,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-970-037/22149420-P?searchTerm=sensors,Part # 970-037,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149420,0,Anti-Lock Brake Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,48.49,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor with harness,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-with-harness-970-030/22149413-P?searchTerm=sensors,Part # 970-030,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149413,0,Anti-Lock Brake Sensor With Harness,(0 reviews),LIMITED LIFETIME REPLACEMENT,31.49,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-970-001/22149411-P?searchTerm=sensors,Part # 970-001,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149411,0,Anti-Lock Brake Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,47.49,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor,brake sensor,No Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-970-038/22149410-P?searchTerm=sensors,Part # 970-038,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149410,0,Anti-Lock Brake Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,44.49,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
dorman - oe solutions anti-lock brake sensor,brake sensor,2 Reviews,https://shop.advanceautoparts.com/p/dorman-oe-solutions-anti-lock-brake-sensor-970-002/22149367-P?searchTerm=sensors,Part # 970-002,[],"['', 'Engineered from high-quality materials for years of service\nDirect replacement for a proper fit every time\nEasy to install\nQuality tested to ensure long-lasting performance']",22149367,0,Anti-Lock Brake Sensor,(2 reviews),LIMITED LIFETIME REPLACEMENT,61.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs107/20972371-P?searchTerm=sensors,Part # ABS107,[],"['', 'Caps are made of high dielectric strength up to 800 volts per mil and glass/mineral reinforced polyester resin for less carbon tracking, greater resistance to electrical breakdown and superior performance\nCaps have solid brass terminals for better conductivity and greater resistance to electrical pitting and erosion for a longer service life']",20972371,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,67.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs106/20972369-P?searchTerm=sensors,Part # ABS106,[],"['', 'Caps are made of high dielectric strength up to 800 volts per mil and glass/mineral reinforced polyester resin for less carbon tracking, greater resistance to electrical breakdown and superior performance\nCaps have solid brass terminals for better conductivity and greater resistance to electrical pitting and erosion for a longer service life']",20972369,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,61.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs307/20972368-P?searchTerm=sensors,Part # ABS307,[],"['', ""Direct-fit OE replacement ensures ease of installation and proper fit, form, function for this important safety category\nCopper alloy conductors ensure superior electrical conductivity with low resistive losses\nRobust design and high-grade material meet the stringent demands of today's service professional""]",20972368,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,89.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,1 Review,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs216/20972367-P?searchTerm=sensors,Part # ABS216,[],"['', 'Direct-fit OE replacement effectively prevents unused fuel vapors in the fuel tank from escaping into the atmosphere\nHigh-grade industrial plastic withstands low and high engine temperatures\nOE-match connectors and terminals ensure perfect fit to the engine wire harness, resulting in peak conductivity for optimal performance']",20972367,2,ABS Wheel Speed Sensor,(1 reviews),LIMITED LIFETIME REPLACEMENT,38.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,77.98,0.016161055
carquest vehicle speed sensor,Speed sensor,7 Reviews,https://shop.advanceautoparts.com/p/carquest-vehicle-speed-sensor-s8365/20971597-P?searchTerm=sensors,Part # S8365,[],"['', 'Designed to OE standards for ease of installation']",20971597,2,Vehicle Speed Sensor,(7 reviews),LIMITED LIFETIME REPLACEMENT,35.99,0-50$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,71.98,0.014917578
carquest vehicle speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-vehicle-speed-sensor-sn7107/20971589-P?searchTerm=sensors,Part # SN7107,[],"['', 'Designed to OE standards for ease of installation']",20971589,0,Vehicle Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,57.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
carquest abs wheel speed sensor,Speed sensor,No Reviews,https://shop.advanceautoparts.com/p/carquest-abs-wheel-speed-sensor-abs303/20970260-P?searchTerm=sensors,Part # ABS303,[],"['', 'Direct-fit OE replacement ensures ease of installation and proper fit, form, and function, resulting in correct measurements of pressure inside intake manifold\nUndergoes extensive design and manufacturing processes to ensure superior durability, longevity, and performance, even under extreme conditions\nOE-matching connectors and terminals ensure exact-fit connection to engine wire harness']",20970260,0,ABS Wheel Speed Sensor,(0 reviews),LIMITED LIFETIME REPLACEMENT,79.99,51-100$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=sensors&storeId=10151&catalogId=10051&langId=-1,Sensors,0,0
