title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch 16002 premium original equipment oxygen sensor for select 2005-18 audi porsche and volkswagen vehicles,https://www.amazon.com/Bosch-16002-Original-Equipment-Volkswagen/dp/B005WS3RSW/ref=sr_1_3?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-3,B005WS3RSW,Bosch Automotive,sensors,70.06,51-100$,3338,233860,13.6994647,16002,1K0998262T,0.35,0-1pound,5.83 x 3.94 x 2.2 inches,51-100sq.inch,Germany,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxygen o2 sensor front rear upstream downstream 15716 15717 15718 15719 compatible with ford jauar lincoln mazda mercury,https://www.amazon.com/YCT-Upstream-Downstream-Lincoln-Mercury/dp/B07H28B8S2/ref=sr_1_4?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-4,B07H28B8S2,YCT,sensors,18.99,0-50$,530,10065,0.589605372,,,0.2875,0-1pound,6.06 x 2.36 x 2.13 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findauto replacement for tire sensor 315mhz gm original equipment tire pressure monitoring system tpms for buick for cadillac for chevrolet for gmc for hummer for pontiac replaces 13598772 974-009,https://www.amazon.com/FINDAUTO-Replacement-Equipment-Monitoring-Chevrolet/dp/B0928S7JBS/ref=sr_1_5?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-5,B0928S7JBS,FINDAUTO,sensors,18.99,0-50$,210,3988,0.233616117,,"10394110, 12768826, 13522628, 13581558, 13586335, 13589255, 13589597, 13598771, 13598772, 15123145, 15202272, 15254101, 15268606, 15825475, 15921013, 15922396, 20922900, 20923680, 20925924, 20964159 22853741, 22854866, 22959744, 22959748, 23445327, 25799331, 25920615, 25952370, 92186507, 4313085Z00, 4313085Z03,4313078J10, 974-009, 5502400",0.11,0-1pound,3.35 x 2.95 x 1.18 inches,1-50sq.inch,,Tier sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zenithike sg1839 250-24052 02 o2 sensor a/f sensor compatible for toyota sequoia 4.7l 2001 2002 2003 2004 for toyota tundra 4.7l 2000 2001 2002 2003 2004 upstream +downstream 4pcs,https://www.amazon.com/ZENITHIKE-250-24052-Compatible-Upstream-Downstream/dp/B088T3SDY5/ref=sr_1_6?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-6,B088T3SDY5,ZENITHIKE,sensors,68.99,51-100$,53,3656,0.214167634,Relays,,0.76875,0-1pound,5.71 x 5.12 x 3.54 inches,101-200sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxygen o2 sensor 12639692 213-4768 234-4530 compatible with buick chevrolet chevy captiva equinox malibu express gm gmc envoy terrain hummer h3 isuzu pontiac saab saturn vue,https://www.amazon.com/YCT-Downstream-12639692-213-4768-Chevrolet/dp/B07H2BWRWG/ref=sr_1_7?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-7,B07H2BWRWG,YCT,sensors,20.99,0-50$,94,1973,0.115577884,,,0.2625,0-1pound,6.02 x 2.32 x 2.13 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zbn 234-4380 air fuel ratio o2 oxygen sensor downstream compatible with nissan altima maxima murano 350z 370z cube rogue sentra infiniti ex35 fx35 fx50 g25 g35 g37 m35 m37 m56,https://www.amazon.com/ZBN-234-4380-Downstream-226A0ET000-226A0JA10C/dp/B082373J4S/ref=sr_1_8?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-8,B082373J4S,ZBN,sensors,23.99,0-50$,143,3431,0.200987186,,"234-4380, 2344380, 226A0ET000, 226A0JA10C, 226A0-ET000, 226A0-JA10C",0.24875,0-1pound,5.8 x 2.6 x 1.8 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mostplus sg1408 upstream heated o2 oxygen sensor compatible for chevrolet ford infiniti q70 nissan cube gt-r maxima mazda rx-8,https://www.amazon.com/MOSTPLUS-SG1408-Upstream-Chevrolet-Infiniti/dp/B07Z9T6FMG/ref=sr_1_9?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-9,B07Z9T6FMG,MOSTPLUS,sensors,14.49,0-50$,86,1246,0.072990392,,234-4380 234-4398 GY0318861B F62Z9F472BB OK32B18186HA 0K32B18861HA SG320 SG1408 22690EN200 226A0ET000 226A0JA10C,0.3125,0-1pound,6.73 x 3.86 x 1.85 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apeixoto oxygen sensor socket with side wire cutout 3/8 inch drive x 7/8 (22mm) fits all vehicle o2 removal and installation offset oxygen sensor socket,https://www.amazon.com/Apeixoto-Oxygen-Vehicle-Removal-Installation/dp/B07RLVDR7T/ref=sr_1_10?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-10,B07RLVDR7T,Apeixoto,sensors,8.99,0-50$,334,3003,0.175915045,,,0.5375,0-1pound,4.33 x 3.7 x 1.57 inches,1-50sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zenithike 13694 o2 sensor oxygen sensor fit for chevy silverado 1500/1500 hd/2500/2500 hd/3500 6.0l 2002-2006 for gmc sierra 1500/1500 hd/2500/2500 hd/3500 6.0l 2002 2upstream & 2downstream 4pcs,https://www.amazon.com/ZENITHIKE-Silverado-2002-2006-2Upstream-2Downstream/dp/B088T6YP1N/ref=sr_1_12?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-12,B088T6YP1N,ZENITHIKE,sensors,71.59,51-100$,40,2864,0.167772457,Relays,,1.06,1.1-2pound,11.42 x 2.56 x 1.77 inches,51-100sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mostplus 234-4198 234-3006 4pcs upstream + downstream sensors oxygen sensor o2 compatible with 2004 nissan frontier xterra v6 3.3l,https://www.amazon.com/MOSTPLUS-234-4198-234-3006-Upstream-Downstream/dp/B07ZLKRJFD/ref=sr_1_13?dchild=1&keywords=sensor&qid=1633486910&s=automotive&sr=1-13,B07ZLKRJFD,MOSTPLUS,sensors,67.99,51-100$,38,2584,0.151370122,,"234-3006 22690-EK800 234-3006 F 00H L00 077 F 00H L00 076 ES10456 ES10456-11B1 18001 24804 754185 22690EK800 138203 138261, 234-3015 22691EK800 226912Y901, 234-4198 226A1EK800 226A0EK800 250-24867 ES20147 24819 18003 18004 75-4187 75-4442",0.96875,0-1pound,6.34 x 4.69 x 1.85 inches,51-100sq.inch,,Oxygen sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
