title,count_of_reviews,product_url,part_number,product_description,center_electrode_core_material,center_electrode_tip_material,electrical_terminal_type,ground_electrode_core_material,ground_electrode_quantity,ground_electrode_tip_design,ground_electrode_tip_material,hex_size,pre_gap_size,reach,resistance,resistor_type,seat_type,thread_diameter,electrode_core_material,electrode_tip_material,ground_configuration,manufacturer_heat_range,product_title,product_attributes,product_reviews,product_warranty,product_reg_price,skuid,search_term,category,units_sold,sale_price,price_tier,revenue,market_share
Autolite Iridium Iridium XP Spark Plug,129 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5702/11015595-P?searchTerm=Spark%20Plugs,Part # XP5702,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.044 in,26.5 mm,4000,Yes,Flat,12 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(129 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,11015595,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,30.0,8.79,0-50$,263.7,0.011458726
Autolite Iridium Iridium XP Spark Plug,174 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5224/15650196-P?searchTerm=Spark%20Plugs,Part # XP5224,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.044 in,19.5 mm,4000,Yes,Flat,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(172 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650196,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,96.0,8.79,0-50$,843.84,0.036667922
Autolite Iridium Iridium XP Spark Plug,158 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5325/15650200-P?searchTerm=Spark%20Plugs,Part # XP5325,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.044 in,26.5 mm,4000,Yes,Flat,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(158 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650200,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,48.0,8.79,0-50$,421.92,0.018333961
Autolite Iridium Iridium XP Spark Plug,162 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5683/10500908-P?searchTerm=Spark%20Plugs,Part # XP5683,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"9/16"" in",0.044 in,26.5 mm,4000,Yes,Flat,12 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(162 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,10500908,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,30.0,8.79,0-50$,263.7,0.011458726
Autolite Iridium Iridium XP Spark Plug,136 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp3923/15650192-P?searchTerm=Spark%20Plugs,Part # XP3923,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.044 in,19.5 mm,4000,Yes,Flat,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(136 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650192,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,26.0,8.79,0-50$,228.54,0.009930896
Autolite Iridium Iridium XP Spark Plug,69 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp3924/15650193-P?searchTerm=Spark%20Plugs,Part # XP3924,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.044 in,19.5 mm,4000,Yes,Flat,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(69 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650193,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,55.0,8.79,0-50$,483.45,0.021007664
Autolite Iridium Iridium XP Spark Plug,42 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5701/11015587-P?searchTerm=Spark%20Plugs,Part # XP5701,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.04 in,35.5 mm,4000,Yes,Flat,12 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(42 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,11015587,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,21.0,8.79,0-50$,184.59,0.008021108
Autolite Iridium Iridium XP Spark Plug,124 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5263/15650199-P?searchTerm=Spark%20Plugs,Part # XP5263,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.04 in,25 mm,4000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(124 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650199,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,45.0,8.79,0-50$,395.55,0.017188089
Autolite Iridium Iridium XP Spark Plug,8 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp103/15650186-P?searchTerm=Spark%20Plugs,Part # XP103,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.05 in,17 mm,,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(8 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650186,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,17.0,8.79,0-50$,149.43,0.006493278000000001
Autolite Iridium Iridium XP Spark Plug,64 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp104/15650187-P?searchTerm=Spark%20Plugs,Part # XP104,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.05 in,17 mm,5000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(64 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650187,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,28.0,8.79,0-50$,246.12,0.010694811
Autolite Iridium Iridium XP Spark Plug,70 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5245/15650198-P?searchTerm=Spark%20Plugs,Part # XP5245,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.044 in,17 mm,4000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(70 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650198,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1.0,8.79,0-50$,8.79,0.000381958
Autolite Iridium Iridium XP Spark Plug,15 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5426/20650252-P?searchTerm=Spark%20Plugs,Part # XP5426,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.05 in,25 mm,4000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(15 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,20650252,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,0.0,8.79,0-50$,0.0,0.0
Autolite Iridium Iridium XP Spark Plug,15 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5405/20650248-P?searchTerm=Spark%20Plugs,Part # XP5405,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.05 in,19.5 mm,4000,Yes,Flat,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(15 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,20650248,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,6.0,8.79,0-50$,52.74,0.002291745
Autolite Iridium Iridium XP Spark Plug,23 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp985/15650208-P?searchTerm=Spark%20Plugs,Part # XP985,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.034 in,19 mm,4000,Yes,Flat,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(23 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650208,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,6.0,8.79,0-50$,52.74,0.002291745
Autolite Iridium Iridium XP Spark Plug,No Reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp64/15650206-P?searchTerm=Spark%20Plugs,Part # XP64,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"13/16"" in",0.044 in,19 mm,4000,Yes,Flat,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(0 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650206,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,0.0,8.79,0-50$,0.0,0.0
Autolite Iridium Iridium XP Spark Plug,26 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp606/15650204-P?searchTerm=Spark%20Plugs,Part # XP606,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.06 in,17 mm,4000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(26 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650204,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,6.0,8.79,0-50$,52.74,0.002291745
Autolite Iridium Iridium XP Spark Plug,11 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp605/15650203-P?searchTerm=Spark%20Plugs,Part # XP605,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.06 in,17 mm,4000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(11 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650203,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1.0,8.79,0-50$,8.79,0.000381958
Autolite Iridium Iridium XP Spark Plug,36 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5364/15650201-P?searchTerm=Spark%20Plugs,Part # XP5364,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.054 in,25 mm,4000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(36 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650201,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,12.0,8.79,0-50$,105.48,0.00458349
Autolite Iridium Iridium XP Spark Plug,3 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5243/15650197-P?searchTerm=Spark%20Plugs,Part # XP5243,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.044 in,17 mm,4000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(3 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650197,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,0.0,8.79,0-50$,0.0,0.0
Autolite Iridium Iridium XP Spark Plug,4 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5144/15650194-P?searchTerm=Spark%20Plugs,Part # XP5144,[],Platinum,Iridium,Stud,Nickel,1.0,Tapered,Platinum,"5/8"" in",0.054 in,20.5 mm,4000,Yes,Tapered,14 mm,,,,,Autolite Iridium,Iridium XP Spark Plug,(4 reviews),LIMITED LIFETIME REPLACEMENT,$8.79,15650194,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,6.0,8.79,0-50$,52.74,0.002291745
