product_title,count_of_reviews,product_url,part_number,product_description,center_electrode_core_material,center_electrode_tip_material,electrical_terminal_type,ground_electrode_core_material,ground_electrode_quantity,ground_electrode_tip_design,ground_electrode_tip_material,hex_size,pre_gap_size,reach,resistance,resistor_type,seat_type,thread_diameter,electrode_core_material,electrode_tip_material,ground_configuration,manufacturer_heat_range,skuid,units_sold,product_attributes,product_reviews,product_warranty,sale_price,price_tier,search_term,category,revenue,market_share
Autolite Iridium Iridium XP Spark Plug,129 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5702/11015595-P?searchTerm=Spark%20Plugs,Part # XP5702,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.044 in,26.5 mm,4000,Yes,Flat,12 mm,NA,NA,NA,NA,11015595,243,Iridium XP Spark Plug,(129 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2135.97,0.009154727
Autolite Iridium Iridium XP Spark Plug,174 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5224/15650196-P?searchTerm=Spark%20Plugs,Part # XP5224,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.044 in,19.5 mm,4000,Yes,Flat,14 mm,NA,NA,NA,NA,15650196,749,Iridium XP Spark Plug,(172 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,6583.71,0.028217656
Autolite Iridium Iridium XP Spark Plug,158 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5325/15650200-P?searchTerm=Spark%20Plugs,Part # XP5325,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.044 in,26.5 mm,4000,Yes,Flat,14 mm,NA,NA,NA,NA,15650200,473,Iridium XP Spark Plug,(158 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,4157.67,0.017819695
Autolite Iridium Iridium XP Spark Plug,162 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5683/10500908-P?searchTerm=Spark%20Plugs,Part # XP5683,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"9/16"" in",0.044 in,26.5 mm,4000,Yes,Flat,12 mm,NA,NA,NA,NA,10500908,312,Iridium XP Spark Plug,(162 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2742.48,0.011754217
Autolite Iridium Iridium XP Spark Plug,136 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp3923/15650192-P?searchTerm=Spark%20Plugs,Part # XP3923,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.044 in,19.5 mm,4000,Yes,Flat,14 mm,NA,NA,NA,NA,15650192,209,Iridium XP Spark Plug,(136 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,1837.11,0.007873819
Autolite Iridium Iridium XP Spark Plug,69 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp3924/15650193-P?searchTerm=Spark%20Plugs,Part # XP3924,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.044 in,19.5 mm,4000,Yes,Flat,14 mm,NA,NA,NA,NA,15650193,333,Iridium XP Spark Plug,(69 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2927.07,0.012545367
Autolite Iridium Iridium XP Spark Plug,42 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5701/11015587-P?searchTerm=Spark%20Plugs,Part # XP5701,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.04 in,35.5 mm,4000,Yes,Flat,12 mm,NA,NA,NA,NA,11015587,263,Iridium XP Spark Plug,(42 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2311.77,0.009908202
Autolite Iridium Iridium XP Spark Plug,124 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp5263/15650199-P?searchTerm=Spark%20Plugs,Part # XP5263,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.04 in,25 mm,4000,Yes,Tapered,14 mm,NA,NA,NA,NA,15650199,234,Iridium XP Spark Plug,(124 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2056.86,0.008815663
Autolite Iridium Iridium XP Spark Plug,8 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp103/15650186-P?searchTerm=Spark%20Plugs,Part # XP103,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.05 in,17 mm,NA,Yes,Tapered,14 mm,NA,NA,NA,NA,15650186,230,Iridium XP Spark Plug,(8 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2021.7,0.008664968
Autolite Iridium Iridium XP Spark Plug,64 reviews,https://shop.advanceautoparts.com/p/autolite-iridium-iridium-xp-spark-plug-xp104/15650187-P?searchTerm=Spark%20Plugs,Part # XP104,[],Platinum,Iridium,Stud,Nickel,1,Tapered,Platinum,"5/8"" in",0.05 in,17 mm,5000,Yes,Tapered,14 mm,NA,NA,NA,NA,15650187,237,Iridium XP Spark Plug,(64 reviews),LIMITED LIFETIME REPLACEMENT,8.79,6-10$,https://shop.advanceautoparts.com/web/SearchResults?searchTerm=Spark+Plugs&storeId=10151&catalogId=10051&langId=-1,Spark Plugs,2083.23,0.008928684
