title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin
lexivon 5/8' swivel magnetic spark plug socket 3/8' drive x 10' total length | enhanced magnetic design with thin wall socket cr-v steel (lx-122),https://www.amazon.com/LEXIVON-Swivel-Magnetic-Enhanced-LX-122/dp/B07MH5ZDMD/ref=sr_1_3?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-3,B07MH5ZDMD,LEXIVON,spark plug,11.97,0-50$,3618,43307,3.65545363768577,,,0.6375,0-1pound,1 x 1 x 10 inches,1-50sq.inch,
acdelco 41-962 professional platinum spark plug (8),https://www.amazon.com/ACDelco-41-962-Professional-Platinum-Spark/dp/B07JBWS1WG/ref=sr_1_4?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-4,B07JBWS1WG,ACDelco,spark plug,45,0-50$,595,26775,2.26002196293986,,41-962,0.09,0-1pound,4.37 x 3.74 x 2.32 inches,1-50sq.inch,
ngk lkar7bix-11s iridium ix spark plug (93501 iridium ix) 4 pack,https://www.amazon.com/NGK-LKAR7BIX-11S-Spark-93501-Iridium/dp/B07FNVYGFL/ref=sr_1_5?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-5,B07FNVYGFL,NGK,spark plug,29.69,0-50$,463,13746,1.16027121951714,Spark Plug,,0.01,0-1pound,4.06 x 3.94 x 0.91 inches,1-50sq.inch,
autolite xp5702-4pk iridium xp spark plug pack of 4,https://www.amazon.com/Autolite-XP5702-4PK-Iridium-Spark-Plug/dp/B078KSMQPS/ref=sr_1_6?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-6,B078KSMQPS,Autolite,spark plug,22.99,0-50$,348,8001,0.675347739513794,XP5702-4PK,,0.45,0-1pound,4.2 x 3.5 x 1 inches,1-50sq.inch,Mexico
8 pcs new -- ngk 3403 g-power platinum alloy spark plug tr55gp,https://www.amazon.com/NGK-G-Power-Platinum-Alloy-TR55GP/dp/B00T917PK4/ref=sr_1_7?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-7,B00T917PK4,NGK,spark plug,23.3,0-50$,357,8318,0.702105049028338,,,0.7625,0-1pound,3.31 x 0.94 x 6.64 inches,1-50sq.inch,
ngk lkar6aix-11 iridium ix spark plug (91187 iridium ix) 4 pack,https://www.amazon.com/NGK-LKAR6AIX-11-Spark-91187-Iridium/dp/B07FP438JV/ref=sr_1_8?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-8,B07FP438JV,NGK,spark plug,29.99,0-50$,305,9147,0.772079211765113,,,0.3875,0-1pound,4.06 x 3.94 x 0.94 inches,1-50sq.inch,
ngk  1465 laser iridium spark plug iztr5b11 --- 8 pcsnew,https://www.amazon.com/NGK-Laser-Iridium-Spark-IZTR5B11/dp/B00PMEMPM0/ref=sr_1_9?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-9,B00PMEMPM0,NGK,spark plug,59.43,51-100$,593,35242,2.9747037915192,,,0.81875,0-1pound,4.09 x 3.66 x 1.69 inches,1-50sq.inch,
bosch automotive 9614 double iridium oe replacement spark plug up to 4x longer life (1 pk) csx acura: mdx rl rsx tl tsx accord civic cr-v element honda fit,https://www.amazon.com/Bosch-9614-Double-Iridium-Replacement/dp/B00F9VKE74/ref=sr_1_10?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-10,B00F9VKE74,Bosch Automotive,spark plug,6.96,0-50$,2543,17699,1.49393571324267,Spark Plug,9614,0.10125,0-1pound,12.8 x 7.4 x 5.2 inches,2011-500sq.inch,Germany
ngk 5464 bkr5eix-11 iridium ix spark plug pack of 4,https://www.amazon.com/NGK-5464-BKR5EIX-11-Iridium-Spark/dp/B003BUCKQ8/ref=sr_1_12?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-12,B003BUCKQ8,NGK,spark plug,24.34,0-50$,567,13801,1.16491365492187,SPARK PLUG,,0.1,0-1pound,3.62 x 3.84 x 0.96 inches,1-50sq.inch,
autolite xp3923-4pk iridium xp spark plug pack of 4,https://www.amazon.com/Autolite-XP3923-4PK-Iridium-Spark-Plug/dp/B009J58FJA/ref=sr_1_13?dchild=1&keywords=spark+plugs&qid=1633497847&s=automotive&sr=1-13,B009J58FJA,Autolite,spark plug,18.85,0-50$,484,9123,0.770053421770321,XP3923-4PK,,0.41875,0-1pound,4.29 x 3.7 x 1.18 inches,1-50sq.inch,Mexico
