title,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,blade_type,size,blade_size_tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosch icon wiper blades 26a18a (set of 2) fits acura: 19 rdx hyundai: 19-11 sonata toyota: 18-13 avalon toyota: 17-12 camry +more up to 40% longer life frustration free packaging,https://www.amazon.com/Bosch-Automotive-Wiper-Blades-Frustration/dp/B07VFY45GL/ref=sr_1_3?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-3&ts_id=15734861,B07VFY45GL,Bosch Automotive,wiper blades,35.97,0-50$,38055,1368838,9.69697785441194,ICON,,1.25,1.1-2pound,31.26 x 1.46 x 6.1 inches,2011-500sq.inch,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079281-2 latitude 2-in-1 water repellency wiper blades 26' (pack of 1),https://www.amazon.com/Rain-X-5079281-2-Latitude-Water-Repellency/dp/B016NA9Y4S/ref=sr_1_4?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-4&ts_id=15734861,B016NA9Y4S,Rain-X,wiper blades,15.27,0-50$,26887,410564,2.90847420645744,5079281-2,,0.00325,0-1pound,1.1 x 2.6 x 26 inches,51-100sq.inch,,,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079282-2 latitude 2-in-1 water repellency wiper blade 28' (pack of 1),https://www.amazon.com/Rain-X-5079282-2-Latitude-Water-Repellency/dp/B016NAA0J6/ref=sr_1_5?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-5&ts_id=15734861,B016NAA0J6,Rain-X,wiper blades,15.27,0-50$,25693,392332,2.77931699410533,5079282-2,,0.0023125,0-1pound,1.1 x 2.6 x 28 inches,51-100sq.inch,USA,,28',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079279-2 latitude 2-in-1 water repellency wiper blade 22' (pack of 1),https://www.amazon.com/Rain-X-inches-5079279-2-Latitude-Repellency/dp/B016NA9V78/ref=sr_1_6?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-6&ts_id=15734861,B016NA9V78,Rain-X,wiper blades,15.27,0-50$,25883,395233,2.79986795247706,5079279-2,,0.4,0-1pound,1.1 x 2.6 x 22 inches,51-100sq.inch,,,22',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079277-2 latitude 2-in-1 water repellency wiper blade 20' (pack of 1),https://www.amazon.com/Rain-X-5079277-2-Latitude-Water-Repellency/dp/B015JTJPX4/ref=sr_1_8?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-8&ts_id=15734861,B015JTJPX4,Rain-X,wiper blades,15.27,0-50$,25900,395493,2.80170981706742,5079277-2,,0.3,0-1pound,1.1 x 2.6 x 20 inches,51-100sq.inch,,,20',16-20inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 810165 latitude water repellency 22' windshield wiper blade 2 pack,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084CT24NM/ref=sr_1_9?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-9&ts_id=15734861,B084CT24NM,Rain-X,wiper blades,31.99,0-50$,14289,457105,3.23817505222749,"Rain-X Latitude Water Repellency Wiper Blade, 22"" - 2 Pack",,1.25,1.1-2pound,26.5 x 6.38 x 1.25 inches,2011-500sq.inch,,,22',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 5079280-2 latitude 2-in-1 water repellency wiper blade 24' (pack of 1),https://www.amazon.com/Rain-X-5079280-2-Latitude-Water-Repellency/dp/B016NA9WN6/ref=sr_1_10?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-10&ts_id=15734861,B016NA9WN6,Rain-X,wiper blades,15.27,0-50$,25079,382956,2.7128965233389,5079280-2,,0.4,0-1pound,1.1 x 2.6 x 24 inches,51-100sq.inch,,,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trico gold 22 inch pack of 2 automotive replacement windshield wiper blades for my car (18-2222),https://www.amazon.com/TRICO-Gold-Weather-Wiper-Blades/dp/B0843CQDR9/ref=sr_1_11?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-11&ts_id=15734861,B0843CQDR9,Trico,wiper blades,21.02,0-50$,2027,42608,0.30183910179348,TRICO Gold,,0.95625,0-1pound,24.5 x 6 x 1.25 inches,101-200sq.inch,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 810163 latitude water repellency 26' and 16' windshield wiper blade 2 pack,https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/dp/B084CS3DMJ/ref=sr_1_13?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-13&ts_id=15734861,B084CS3DMJ,Rain-X,wiper blades,31.72,0-50$,14716,466792,3.30679867640777,"Rain-X Latitude Water Repellency Wiper Blade Combo Pack 26"" and 16""",,1.28,1.1-2pound,30.5 x 6.38 x 1.25 inches,2011-500sq.inch,,,26',26-30inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain-x 810198 latitude water repellency wiper blade combo pack 24' and 21',https://www.amazon.com/Rain-X-810198-Latitude-Water-Repellency/dp/B09CZCK955/ref=sr_1_14?_encoding=UTF8&c=ts&dchild=1&keywords=Automotive+Replacement+Windshield+Wiper+Blades&qid=1633496693&s=automotive&sr=1-14&ts_id=15734861,B09CZCK955,Rain-X,wiper blades,31.99,0-50$,9915,317181,2.24694020244925,"Rain-X 810198 Latitude Water Repellancy Wiper Blade Combo Pack 24"" and 21""",,1.4,1.1-2pound,26.5 x 6.38 x 1.25 inches,2011-500sq.inch,"Korea, Republic of",,24',21-25inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
