product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type
expertpower exp12180 12v 18ah lead acid battery,https://www.amazon.com/ExpertPower-EXP12180-Expert-Power-Lead_Acid_Battery/dp/B00A82A3RK/ref=sr_1_1?dchild=1&qid=1633495479&s=automotive&sr=1-1,B00A82A3RK,ExpertPower,Batteries,38,0-50$,479,18202,0.5327326798221571,EXP12180,NA,11.5,10.1-20pound,7.13 x 3.03 x 6.57 inches,101-200sq.inch,18 Amps,0-20AMP,12 Volts,NA,NA
expertpower 12 volt 20 ah exp12200 rechargeable sla battery,https://www.amazon.com/ExpertPower-EXP12200-Rechargeable-Threaded-Terminals/dp/B00KC39BE6/ref=sr_1_2?dchild=1&qid=1633495479&s=automotive&sr=1-2,B00KC39BE6,ExpertPower,Batteries,40,0-50$,229,9160,0.2680931407082166,EXP12200,EXP12200,11.97,10.1-20pound,7.1 x 6.6 x 3 inches,101-200sq.inch,20 Amps,0-20AMP,12 Volts,China,NA
yuasa yuam72z14 ytz14s battery,https://www.amazon.com/Yuasa-YTZ14S-Lead_Acid_Battery/dp/B0024VFY86/ref=sr_1_3?dchild=1&qid=1633495479&s=automotive&sr=1-3,B0024VFY86,Yuasa,Batteries,144.31,101-200$,165,23811,0.6968958267907583,YUAM72Z14,YTZ14S,6.36,5.1-10pound,5.91 x 3.43 x 4.33 inches,51-100sq.inch,11.8 Amps,0-20AMP,12 Volts,NA,Dirt Bike
yuasa yuam727zs ytz7s battery,https://www.amazon.com/Yuasa-YUAM727ZS-Lead_Acid_Battery/dp/B000UK1054/ref=sr_1_4?dchild=1&qid=1633495479&s=automotive&sr=1-4,B000UK1054,Yuasa,Batteries,103.36,101-200$,137,14160,0.41443219131313835,YUAM727ZS,YUAM727ZS,4.62,2.1-5pound,4.45 x 2.76 x 4.13 inches,51-100sq.inch,6 Amps,0-20AMP,12 Volts,Japan,ATV
expertpower exp1290 12 volt 9 amp rechargeable battery,https://www.amazon.com/ExpertPower-EXP1290-lead_acid_battery/dp/B00A82A3QG/ref=sr_1_5?dchild=1&qid=1633495479&s=automotive&sr=1-5,B00A82A3QG,ExpertPower,Batteries,25.99,0-50$,30,780,0.02282889189436779,EXP1290,NA,5.19,5.1-10pound,5.92 x 2.53 x 3.69 inches,51-100sq.inch,9 Amps,0-20AMP,12 Volts,NA,NA
yuasa yuam6rh4h ytx14h-bs battery,https://www.amazon.com/Yuasa-YUAM6RH4H-YTX14H-BS-Battery/dp/B000N5ST3C/ref=sr_1_6?dchild=1&qid=1633495479&s=automotive&sr=1-6,B000N5ST3C,Yuasa,Batteries,93.99,51-100$,226,21242,0.6217068225899495,YUAM6RH4H,YUAM6RH4H,11.4,10.1-20pound,5.91 x 3.43 x 5.71 inches,101-200sq.inch,9,0-20AMP,12 Volts,USA,NA
acdelco gold atx14lbs 12 month warranty powersports agm jis 14l-bs battery,https://www.amazon.com/ACDelco-ATX14LBS-Specialty-Powersports-Battery/dp/B00BFLW308/ref=sr_1_7?dchild=1&qid=1633495479&s=automotive&sr=1-7,B00BFLW308,ACDelco,Batteries,40.58,0-50$,164,6655,0.19477727635515082,NA,88863879,10.7,10.1-20pound,7.2 x 6.8 x 6.3 inches,2011-500sq.inch,NA,NA,12 Volts,Vietnam,"ATV, Motorcycle, Snowmobile"
yuasa yuam420bs ytx20l battery,https://www.amazon.com/Yuasa-YUAM420BS-YTX20L-Battery/dp/B002VVLV9K/ref=sr_1_8?dchild=1&qid=1633495479&s=automotive&sr=1-8,B002VVLV9K,Yuasa,Batteries,99.99,51-100$,150,14999,0.43898788400464417,YUAM420BS,NA,11.03,10.1-20pound,8.7 x 7.3 x 4.3 inches,2011-500sq.inch,NA,NA,12 Volts,USA,NA
yuasa yuam329bs ytx9-bs battery,https://www.amazon.com/Yuasa-YUAM329BS-YTX9-BS-Battery/dp/B000N5U5VG/ref=sr_1_9?dchild=1&qid=1633495479&s=automotive&sr=1-9,B000N5U5VG,Yuasa,Batteries,71.99,51-100$,113,8135,0.23809363533420766,YUAM329BS,YUAM329BS,7.4,5.1-10pound,9.4 x 6.5 x 6 inches,2011-500sq.inch,NA,NA,12 Volts,USA,ATV
motobatt mbt4bb (12v 2.5 amp) 40cca factory activated quadflex agm battery,https://www.amazon.com/MotoBatt-MBT4BB-Lead_Acid_Battery/dp/B004UX1R1O/ref=sr_1_10?dchild=1&qid=1633495479&s=automotive&sr=1-10,B004UX1R1O,MotoBatt,Batteries,34.03,0-50$,91,3097,0.09064240794468853,MBT4BB,YT4B-BS,1.6,1.1-2pound,4.45 x 3.43 x 1.5 inches,1-50sq.inch,2.5 amp,0-20AMP,12 Volts,China,NA
