product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,country_of_origin,Type
bosch automotive 6029c hepa cabin air filter for select acura csx ilx mdx rdx rl rlx tl tlx tsx zdx honda accord civic crosstour cr-v odyssey pilot ridgeline toyota celica fj cruiser prius 4runner,https://www.amazon.com/Bosch-6029C-Crosstour-Odyssey-Ridgeline/dp/B01JYSWJ0C/ref=sr_1_3?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-3,B01JYSWJ0C,Bosch Automotive,Filters,14.3,0-50$,15955,228157,6.457179163889585,6029C,NA,0.11,0-1pound,9.25 x 9.65 x 1.77 inches,101-200sq.inch,China,air filter
philtop cabin air filter replacement for cf10285 cp285 4runner camry corolla tundra highlander avalon prius sequoia is250 rx350 premium cabin filter with activated carbon filter up dust pollen oder,https://www.amazon.com/dp/B08X427MCF,B08X427MCF,PHILTOP,Filters,11.97,0-50$,3744,44816,1.2683588117343567,ACF01 Cabin Air Filter,"72880-AJ000, 72880-AJ00A, 72880-AL00A, 87139-52020, SEDNF-29100, SEDNF-29110, 87139-02020, 87139-02090, 87139-06040, 87139-06080, 87139-07010, 87139-07020, 87139-08030, 87139-0D010, 87139-0D070, 87139-30040, 87139-30070, 87139-47010, 87139-47010-83, 87139-48020, 87139-50060, 87139-50100, 87139-52020, 87139-52040, 87139-60020, 87139-76010, 87139-YZZ08, 87139-YZZ10, 87139-YZZ16, 87139-YZZ20",0.4875,0-1pound,8.27 x 7.48 x 1.17 inches,51-100sq.inch,NA,air filter
epauto gpa0a (pe07-13-3a0a) replacement for mazda rigid panel engine air filter for skyactiv mazda 3 (2013-2019) mazda 6 (2014-2019) cx-5 2.5l (2013-2019),https://www.amazon.com/EPAuto-PE07-13-3A0A-Replacement-2013-2018-2014-2017/dp/B01LXIJR60/ref=sr_1_7?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-7,B01LXIJR60,EPAUTO,Filters,12.87,0-50$,1211,15586,0.44110675740118893,NA,"PE07-13-3A0A, PEAR-13-3A0",0.7125,0-1pound,10.94 x 7.17 x 1.73 inches,101-200sq.inch,NA,air filter
k&n cabin air filter cleaning kit: spray bottle filter cleaner and refresher kit; restores cabin air filter performance; service kit-99-6000 99-6000amz,https://www.amazon.com/Cabin-Air-Filter-Cleaning-Kit/dp/B08KWQPHFL/ref=sr_1_10?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-10,B08KWQPHFL,K&N,Filters,10.44,0-50$,1226,12799,0.3622305522890939,Cabin Filter Cleaning Care Kit,NA,1.65,1.1-2pound,4.6 x 2.5 x 8.8 inches,101-200sq.inch,USA,air filter
epauto gp169(ca10169) replacement for toyota/lexus/scion rigid panel engine air filter for camry v6(2007-2011) rav4(2006-2012) matrix(2009-2013) venza(2009-2015)avalon(2005-2012)tc(2011-2016),https://www.amazon.com/EPAuto-2007-2011-2006-2012-2009-2013-2009-2015/dp/B017OIG4BO/ref=sr_1_12?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-12,B017OIG4BO,EPAUTO,Filters,9.87,0-50$,648,6396,0.18101622098922138,NA,17801-AD010,0.4625,0-1pound,10.31 x 9.49 x 2.44 inches,2011-500sq.inch,NA,air filter
ecogard xc36080 premium cabin air filter fits acura rdx 2019-2020 honda civic 2016-2019 cr-v 2017-2019 fit 2009-2019 hr-v 2016-2019 odyssey 2018-2020 insight 2010-2019 clarity 2017-2019,https://www.amazon.com/ECOGARD-XC36080-Premium-Filter-Insight/dp/B00I8IU150/ref=sr_1_19?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-19,B00I8IU150,ECOGARD,Filters,11.63,0-50$,3278,38123,1.078937053278938,XC36080,80292-TF0-G01,0.15,0-1pound,10.9 x 9.5 x 2.1 inches,2011-500sq.inch,China,air filter
2 pack - epauto cp285 (cf10285) premium cabin air filter includes activated carbon,https://www.amazon.com/Pack-CF10285-Replacement-Premium-Activated/dp/B01LZ52ISO/ref=sr_1_20?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-20,B01LZ52ISO,EPAUTO,Filters,15.87,0-50$,7812,123976,3.508703410468998,NA,"72880-AJ000, 72880-AJ00A, 72880-AL00A, 87139-52020, SEDNF-29100, SEDNF-29110, 800025P, 87139-02020, 87139-02090, 87139-06040, 87139-06080, 87139-07010, 87139-07020, 87139-08030, 87139-0D010, 87139-0D070, 87139-30040, 87139-30070, 87139-47010, 87139-47010-83, 87139-48020, 87139-50060, 87139-50100, 87139-52020, 87139-52040, 87139-60020, 87139-76010, 87139-YZZ08, 87139-YZZ10, 87139-YZZ16, 87139-YZZ20",0.9,0-1pound,8.94 x 8.07 x 2.83 inches,2011-500sq.inch,NA,air filter
fram fresh breeze cabin air filter with arm & hammer baking soda cf10134 for honda vehicles package may vary  white,https://www.amazon.com/FRAM-CF10134-Cabin-Air-Filter/dp/B0010E00T6/ref=sr_1_22?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-22,B0010E00T6,Fram,Filters,13.97,0-50$,5678,79322,2.244929437352567,CF10134,CF10134,0.45,0-1pound,10 x 2 x 10 inches,101-200sq.inch,USA,air filter
motorcraft - oil filter (fl2051s),https://www.amazon.com/Motorcraft-FL2051S-OIL-FILTER/dp/B00BJ4BLMC/ref=sr_1_23?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-23,B00BJ4BLMC,Motorcraft,Filters,13.24,0-50$,4594,60825,1.7214370921934632,FL-2051-S,FL*2051*S,1.7,1.1-2pound,3.2 x 2.9 x 4.9 inches,1-50sq.inch,China,oil filter
ecogard xa10486 premium engine air filter fits honda pilot 3.5l 2016-2021 odyssey 3.5l 2018-2021 ridgeline 3.5l 2017-2020 passport 3.5l 2019-2021 | acura mdx 3.5l 2016-2020,https://www.amazon.com/ECOGARD-XA10486-Premium-Ridgeline-Odyssey/dp/B01LWM3AMJ/ref=sr_1_26?dchild=1&keywords=Filters&qid=1633502181&s=automotive&sr=1-26,B01LWM3AMJ,ECOGARD,Filters,18.12,0-50$,1293,23429,0.6630752097492915,XA10486,17220-5J6-A10,0.6,0-1pound,13.15 x 7.56 x 1.97 inches,101-200sq.inch,China,air filter
fram extra guard air filter ca10755 for select dodge jeep lexus and toyota vehicles,https://www.amazon.com/CA10755-Extra-Flexible-Rectangular-Filter/dp/B004A0RBSK/ref=sr_1_28?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-28,B004A0RBSK,Fram,Filters,15.35,0-50$,1865,28628,0.8102145676171716,CA10755,CA10755,0.4375,0-1pound,0.79 x 0.39 x 1.18 inches,1-50sq.inch,NA,air filter
ecogard xc10434 premium cabin air filter fits nissan rogue 2014-2020 rogue sport 2017-2019,https://www.amazon.com/ECOGARD-XC10434-Premium-Filter-Nissan/dp/B01A0Y1MNE/ref=sr_1_29?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-29,B01A0Y1MNE,ECOGARD,Filters,11.34,0-50$,873,9900,0.28018458220658093,XC10434,27277-4BU0A,0.2,0-1pound,9.88 x 7.13 x 1.42 inches,101-200sq.inch,China,air filter
airtechnik cf12161 cabin air filter w/activated carbon | fits kia sorento 2016-2020,https://www.amazon.com/AirTechnik-CF12161-Activated-Sorento-2016-2020/dp/B08X8YDFLZ/ref=sr_1_30?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-30,B08X8YDFLZ,AirTechnik,Filters,11.99,0-50$,330,3957,0.11198892846378189,NA,"CF12161, KIA: 97134-C6900, C6C79-AC000",0.4375,0-1pound,10.71 x 8.35 x 1.34 inches,101-200sq.inch,NA,air filter
epauto cp134 (cf10134) premium cabin air filter includes activated carbon,https://www.amazon.com/EPAuto-CF10134-Premium-Filter-Activated/dp/B014TZAUU6/ref=sr_1_31?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-31,B014TZAUU6,EPAUTO,Filters,8.87,0-50$,5547,49202,1.392489072093757,Premium Cabin Air Filter,"800003P, 80292-SDA-A01, 80292-SDC-A01, 80292-SEC-A01, 80292-SHJ-A41, 80292-SWA-A01, 80292-T0G-A01, 80292-TZ5-A41",0.59375,0-1pound,9.45 x 9.17 x 1.38 inches,101-200sq.inch,NA,air filter
fuel filter water separator and oil filter set fits for dodge ram 6.7l cummins diesel 2013-2018 2500 3500 4500 5500 replaces 68197867aa 68157291aa 5083285aa,https://www.amazon.com/Separator-2013-2018-68197867AA-68157291AA-5083285AA/dp/B08GWWP3CZ/ref=sr_1_32?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-32,B08GWWP3CZ,KOROP AUTO PARTS,Filters,36.98,0-50$,487,18009,0.5096812263594258,NA,NA,4.4,2.1-5pound,10.79 x 9.45 x 5.35 inches,501-1000sq.inch,NA,fuel filter
fram fresh breeze cabin air filter with arm & hammer baking soda cf10285 for toyota vehicles white,https://www.amazon.com/CF10285-Fresh-Breeze-Filter-Hammer/dp/B001CEG90I/ref=sr_1_33?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-33,B001CEG90I,Fram,Filters,15.84,0-50$,6827,108140,3.0605212848302688,CF10285,CF10285,0.2,0-1pound,8.47 x 7.64 x 1.14 inches,51-100sq.inch,China,air filter
mobil 1 m1-110a extended performance oil filter,https://www.amazon.com/Mobil-M1-110A-Extended-Performance-Filter/dp/B0727SCP22/ref=sr_1_34?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-34,B0727SCP22,Mobil 1,Filters,9.97,0-50$,2487,24795,0.7017350217992095,Mobil 1 M1-110A Extended Performance Oil Filter,NA,0.05,0-1pound,4 x 4 x 4 inches,51-100sq.inch,USA,oil filter
fram fresh breeze cabin air filter with arm & hammer baking soda cf12157 for select lexus and toyota vehicles  white,https://www.amazon.com/CF12157-Fresh-Breeze-Filter-Hammer/dp/B07B155581/ref=sr_1_35?dchild=1&keywords=Filters&qid=1633502213&s=automotive&sr=1-35,B07B155581,Fram,Filters,19.23,0-50$,800,15384,0.4353898598652567,CF12157,NA,0.01,0-1pound,8 x 7 x 1 inches,51-100sq.inch,China,air filter
